Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive,acne,age,bright,bh,red,tex,barrier,hyper
Moisturizer,LA MER,Crème de la Mer,175,4.1,"seaweed,petrolatum,petrolatum,glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract,sesame,eucalyptus,sesame, Medicago Sativa (Alfalfa) Seed Powder,sunflower,almond, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Magnesium Sulfate, Paraffin, Tocopheryl Succinate, Niacin,, Beta-Carotene, Decyl Oleate, Aluminum Distearate, Octyldodecanol,citric, Cyanocobalamin, Magnesium Stearate, Panthenol, Limonene, Geraniol, Linalool, Hydroxycitronellal, Citronellol, Benzyl Salicylate, Citral,,alcohol denat,fragrance",1,1,1,1,1,0,2,2,2,2,2,0,1
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol,,, Methylparaben, Sorbic Acid.",1,1,1,1,1,1,1,1,1,1,1,1,1
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,", Dicaprylyl Carbonate,glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil,soy, Nymphaea Alba Root Extract, sh-Oligopeptide-1, sh-Oligopeptide-2, sh-Polypeptide-1, sh-Polypeptide-9, sh-Polypeptide-11, Copper Palmitoyl Heptapeptide-14, Heptapeptide-15 Palmitate, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Alanine, Arginine, Glycine, Histidine, Isoleucine, Phenylalanine, Proline, Serine, Threonine, Valine, Acetyl Glutamine, Coconut Alkanes , Coco-Caprylate/Caprate, Sodium Hyaluronate, Aspartic Acid, Linoleic Acid, Linolenic Acid, Lecithin, Butylene Glycol, Polyvinyl Alcohol, Sodium Lactate, Sodium PCA, PCA, Sorbitan Isostearate, Carbomer, Polysorbate 20, Polysorbate 60,glycolic, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum, Isomalt, 1,2-Hexanediol, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Tocopherol,, Phenylpropanol, Glyceryl Caprylate, Symphytum Officinale Callus Culture Extract.",1,1,1,1,0,1,2,2,2,2,2,2,1
Moisturizer,LA MER,The Moisturizing Soft Cream,175,3.8,"seaweed, Cyclopentasiloxane,petrolatum, Glyceryl Distearate, Phenyl Trimethicone, Butylene Glycol, Hydrogenated Vegetable Oil, Cholesterol, Butyrospermum Parkii (Shea Butter), Steareth-10,dimethicone, Glyceryl Stearate Se, Polysilicone-11,sesame, Medicago Sativa (Alfalfa) Seed Powder,sunflower,almond,eucalyptus, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Tocopheryl Succinate, Niacin,sesame,, Citrus Aurantifolia (Lime) Peel Extract, Laminaria Digitata Extract, Crithmum Maritimum Extract, Salicornia Herbacea Extract, Plankton Extract, Chlorella Vulgaris Extract,soy,glycerin, Caffeine, Sea Salt/Maris Sal/Sel Marin, Micrococcus Lysate, Diethylhexyl Succinate, Adenosine Phosphate, Creatine, Hydrolyzed Algin, Isocetyl Stearoyl Stearate, Cetyl Alcohol, Sucrose, Acetyl Hexapeptide-8, Glucose Oxidase, Polyacrylamide, Acetyl Carnitine Hcl, Glucose, Caprylic/Capric Triglyceride, C13-14 Isoparaffin, Tocopheryl Acetate,vitc, Sodium Pca, Glycosaminoglycans, Urea, Distearyldimonium Chloride, Dipalmitoyl Hydroxyproline, Sodium Hyaluronate, Laureth-7, Lecithin, Trehalose, Polyquaternium-51, Lactoperoxidase, Hydroxypropyl Cyclodextrin, Cyanocobalamin, Pentylene Glycol,fragrance, Disodium Edta, Bht, Citronellol, Hydroxycitronellal, Geraniol, Linalool, Limonene,, Phenoxyethanol",1,1,1,1,1,0,2,2,1,2,1,0,1
Moisturizer,TATCHA,The Water Cream,68,4.2,",camellia,dimethicone, Propanediol,glycerin,glycerin, Diphenylsiloxy Phenyl Trimethicone, Gold, Belamcanda Chinensis Root Extract, Rosa Multiflora Fruit Extract, Houttuynia Cordata Extract, Sophora Angustifolia Root Extract, Sodium Hyaluronate, Lecithin, Pistacia Lentiscus (Mastic) Gum, Sodium Chloride, Sodium Citrate, Mica,dimethicone,dimethicone,dimethicone, Disodium Edta, Tin Oxide, Titanium Dioxide, Butylene Glycol,glycerin,fragrance, Alcohol, Phenoxyethanol. *Hadasei-3.",1,0,1,1,1,0,2,1,1,2,1,2,1
Moisturizer,DRUNK ELEPHANT,Lala Retro™ Whipped Cream,60,4.2,",glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate,camellia, Stearic Acid, Glyceryl Stearate SE, Cetearyl Alcohol, Pentylene Glycol, Plantago Lanceolata Leaf Extract, Adansonia Digitata Seed Oil,, Passiflora Edulis Seed Oil, Schinziophyton Rautanenii Kernel Oil, Sclerocarya Birrea Seed Oil, Polyglyceryl-6 Ximenia Americana Seedate, Sodium Hyaluronate Crosspolymer, Ceteareth-20, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide,citric, Carbomer, Xanthan Gum, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol,glycerin",1,1,1,1,0,2,2,2,2,2,2,2,1
Moisturizer,DRUNK ELEPHANT,Virgin Marula Luxury Facial Oil,72,4.4,Marula Kernel Oil.,1,1,1,1,0,1,1,1,1,1,1,2,1
Moisturizer,KIEHL'S SINCE 1851,Ultra Facial Cream,29,4.4,",glycerin, Cyclohexasiloxane,squalane, Bis-Peg-18 Methyl Ether Dimethyl Silane, Sucrose Stearate, Stearyl Alcohol, Peg-8 Stearate, Urea, Myristyl Myristate, Pentaerythrityl Tetraethylhexanoate, Prunus Armeniaca Kernel Oil, Phenoxyethanol, Persea Gratissima Oil, Olea Europaea Oil, Oryza Sativa Bran Oil, Cetyl Alcohol, Glyceryl Stearate, Imperata Cylindrica Root Extract, Stearic Acid, Methylparaben, Chlorphenesin, Palmitic Acid, Disodium Edta, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Propylparaben, Carbomer, Triethanolamine, Prunus Amygdalus Dulcis Oil, Xanthan Gum, Sodium Hydroxide, Tocopherol, Pseudoalteromonas Ferment Extract, Hydroxypalmitoyl Sphinganine, Caprylyl Glycol.",1,1,1,1,1,1,2,1,1,2,1,2,1
Moisturizer,LA MER,Little Miss Miracle Limited-Edition Crème de la Mer,325,5.0,"seaweed,petrolatum,petrolatum,glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract,sesame,eucalyptus,sesame, Medicago Sativa (Alfalfa) Seed Powder,sunflower,almond, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Magnesium Sulfate, Paraffin, Tocopheryl Succinate, Niacin,, Beta-Carotene, Decyl Oleate, Aluminum Distearate, Octyldodecanol,citric, Cyanocobalamin, Magnesium Stearate, Panthenol, Limonene, Geraniol, Linalool, Hydroxycitronellal, Citronellol, Benzyl Salicylate, Citral,,alcohol denat,fragrance",0,0,0,0,0,0,2,2,2,2,2,0,1
Moisturizer,FRESH,Lotus Youth Preserve Moisturizer,45,4.3,",glycerin, Propylene Glycol Dicaprylate/Dicaprate, Pentylene Glycol, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Cetearyl Isononanoate, Betaine, Polymethyl Methacrylate, Steareth-21, Ficus Carica (Fig) Fruit Extract, Lepidium Meyenii Root Extract, Citrus Limon (Lemon) Peel Oil,cucumber, Algae Extract, Nelumbo Nucifera Flower Extract, Hibiscus Esculentus Fruit Extract, Sodium Hyaluronate, Tocopheryl Acetate,vitc, Tocopherol, Behenyl Alcohol, Cetearyl Glucoside, Sorbitol,dimethicone, Sodium PCA, Caprylyl Glycol, Carbomer, Tromethamine, Cetyl Alcohol, Stearyl Alcohol, Butylene Glycol, Xanthan Gum, Caramel,citric,, Sorbic Acid, Phenoxyethanol, Limonene, Citral.",0,0,0,0,0,0,2,2,2,2,2,2,1
Moisturizer,KIEHL'S SINCE 1851,Midnight Recovery Concentrate,47,4.4,"Caprylic/Capric Triglyceride, Dicaprylyl Carbonate,squalane, Rosa Canina Fruit Oil, Oenothera Biennis Oil, Evening Primrose Oil, Simmondsia Chinensis Oil,jojoba, Coriandrum Sativum Oil, Coriander Seed Oil, Tocopherol,lavender,lavender, Pelargonium Graveolens Flower Oil, Linalool, Rosmarinus Officinalis Leaf Oil, Rosemary Leaf Oil, Citronellol, Geraniol, Lavandula Hybrida Oil, Cucumis Sativus Extract,cucumber, Curcuma Longa Extract, Turmeric Root Extract, Limonene, Citral, Sclareolide, Rosa Spp, Rose Flower Oil, Jasminum Officinale Extract, Jasmine Extract, Helianthus Annuus Seed Oil,sunflower",1,1,1,1,1,2,2,2,1,2,1,2,1
Moisturizer,BELIF,The True Cream Aqua Bomb,38,4.5,", Dipropylene Glycol,glycerin, Methl Trimethicone,alcohol denat,dimethicone, Cyclopentasiloxane, 1,2-Hexanediol, Malakite Extract, Caprylic/Capric Triglyceride, Pentaerythrityl Tetraethylhexanoate,glycerin, Alchemilla Vulgaris Leaf Extract*, Equisetum Arvense Leaf Extract*, Stellaria Media (Chickweed) Extract*, Urtica Dioica (Nettle) Leaf Extract*, Plantago Lanceolata Leaf Extract*, Avena Sativa (Oat) Kernel Extract**, Calendula Officinalis Flower Extract**, Nepeta Cataria Extract**, Rubus Idaeus (Raspberry) Leaf Extract**, Baptisia Tinctoria Root Extract**, Dimethiconol, Polymethylsilsesquioxane, Sodium Acrylate/Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer, Isohexadecane, Polysorbate 60, Ceramide 3, Cholesterol, Butyrospermum Parkii (Shea) Butter, Phenl Trimethicone, Pentaerythrityl Tetraisostearate, Panthenol,squalane, Triethylhexanoin, Macadamia Ternifolia Seed Oil, PEG-150,castor, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C14-22 Alcohols, Arachidyl Glucoside, Hydrogenated Lecithin, PEG-100 Stearate, Stearic Acid, Glyceryl Stearate, Carbomer, Tromethamine, Trisodium EDTA,fragrance, Citronellol, Limonene, Citral, Geraniol,fragrance",1,0,1,1,0,0,2,1,1,2,1,0,1
